username,tweet,retweets,likes
awatazzz,#AStarIsBorn was such a good movie !,4,39
cineplexmovies,Will #AStarIsBorn bring @ladygaga one step closer to a coveted EGOT?  https://cinplx.co/2ONtqmF  pic.twitter.com/E4ARpuIaHb,4,30
danapiccoli,Just saw #AStarIsBorn. I have no doubt Cooper and Gaga will pick up Oscar nominations for it. I think Cooper will win. Great direction too.,4,89
kkstevens,"Hey everyone! In light of the release of new #AStarIsBorn reboot, I looked at all four versions of the film and how they informed the latest version cinematically and culturally. Check out my latest column for @lwos_LIFE! https://lwos.life/2018/10/06/a-star-is-born-reborn/ …",4,6
thisiskristin_,Movie Review by Kristin: A STAR IS BORN | Starring Bradley Cooper & Lady Gaga | #AStarIsBorn @starisbornmovie @ladygaga #MovieReview | Click here to read my thoughts:  http://accordingtokristin.com/2018/10/06/mov … pic.twitter.com/3CP46zGvXl,4,4
diddius_,"Interscope trying to decide if they promote Shallow, Is It Alright? or I'll Never Love Again #AStarIsBorn  pic.twitter.com/LKo9II3ziJ",4,2
hitsdailytriple,#AStarIsBorn soundtrack is indescribably horrible. 😂 #AFlopIsBorn pic.twitter.com/1GzTiJhbJf,4,4
judygarlandexp,A bit of ephemera from the 1954 version of A Star Is Born. #teamtjge #judygarland #astarisborn #thejudygarlandexperience pic.twitter.com/5XdDpxXNVK,4,14
z100newyork,#LadyGaga surprises fans at #AStarIsBorn advance screening in #NewYork! 🎬😍  https://ihr.fm/2pCdGo0  pic.twitter.com/Y66qpv63sS,4,20
joshgroban,@starisbornmovie @AmyKinLA Sure I’ll put out a hammock and bring out snacks sometimes and then go back to my reading. So much reading. So much work to be done amongst my wooden things.,4,43
ditzkoff,@starisbornmovie @AmyKinLA Conveniently located in LA and Arizona.,4,45
arrichannel,"Bradley Cooper's directorial debut, @starisbornmovie, opened this week. DP @MattyLibatique captured the  film with #ALEXAMini supplied by @CamtecCameras  Watch our interview with Libatique from #TheFilmmakersView series, where he talks about his career: https://bit.ly/2Qumtnr ",4,16
heybuckhey,Slept only 90 minutes last night. Can't stop thinking about @starisbornmovie and @ladygaga performance. Going back to see it again today. pic.twitter.com/q52eZdBvfW,4,40
katvansley,Don't miss @ReneeShapiro's interview with Bradley Cooper about @starisbornmovie! Tonight at 10!  pic.twitter.com/MiHH5POmJy,4,3
clintomovies,"When I first heard Bradley Cooper was remaking #AStarIsBorn, I thought Noooo! Turns out, it was a great idea. He and @ladygaga kill it. Here's my review @starisbornmovie @ohiodotcom  https://bit.ly/2Pab2kB  pic.twitter.com/v5ig8PtHlh",4,11
hmvtweets,"From @twentyonepilots to the soundtrack for #AStarIsBorn, here are this week's new album releases:  http://hmv.co/QQvD6d  pic.twitter.com/H85pLu4Htj",4,35
emmacaulfield,I saw #AStarIsBorn ..No one talk to me for 24 hours. Slow Clap.  pic.twitter.com/TZnjKHo5Ee,4,87
chrisscheetz,Just paid $15 to get kick in the gut. But it was worth every cent. #AStarIsBorn is incredible.  Bradley Cooper and @ladygaga should win every award they can get.,4,49
joepardavila,A Star is Born is spectacular.  Gaga is fantastic and Bradley Cooper pulls off one of the best multi-hyphenate performances ever.   #AStarIsBorn,4,39
tomgreenlive,This weekend go see my friend @TheRealDiceClay in #AStarIsBorn he is amazing.   https://www.google.com/amp/s/pagesix.com/2018/10/05/andrew-dice-clay-doesnt-want-to-act-after-a-star-is-born/amp/ …,4,22
ukeewashington,Playing RIGHT NOW! @wbpictures #AStarIsBorn  https://twitter.com/CBSPhilly/status/1048317982290694144 …,4,14
tommypistol,@ladygaga watch VENCUM on @Wood_Rocket for free. Check out #AStarIsBorn in theaters.  pic.twitter.com/a04hajKzil,4,7
buildseriesnyc,It’s #Venom vs #AStarIsBorn! Don't waste a minute of your weekend deciding what to watch; #BUILDWeekendWatch has got you covered:  http://BUILDseries.com  pic.twitter.com/eBxAGzkQsN,4,9
broadwayworld,Prospective @goldenglobes frontrunners @starisbornmovie and @BoRhapMovie  will compete as dramas https://www.broadwayworld.com/article/A-STAR-IS-BORN-and-BOHEMIAN-RHAPSODY-Will-Not-Compete-As-Musicals-In-2019-Golden-Globes-20181010 …,4,16
lilmac4,"Super excited to see #AStarIsBorn tonight thanks to @sterkinekor! 🌟 This movie has been getting such great buzz, I can't wait to see it myself! 😁💯 @warnerbros_sa @starisbornmovie #MacOnMovies pic.twitter.com/RWpcJpLOYy",4,7
joycegiraud,"Omg!Just cried my heart out! @ladygaga you are always a ⭐️ #BradleyCooper is my new fav director & in my humble opinion the best actor of the year! @TheAcademy @starisbornmovie is the best movie,best score,best director,actor.... everything! I LOVED IT!!!!!!!!!! ⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️",4,12
theadamchance,"Just saw @starisbornmovie w/@samimatarante. Blown away. @ladygaga was amazing. Nice bonus seeing @lukasnelson & @brandicarlile & hearing a killer tune from @JasonIsbell. Also incredibly directed by Bradley Cooper, which I didn’t realize till the end. Highly recommend it. 👍🏻👍🏻",4,108
vnasty92,The vinyl is so beautiful omg 😍😭🌟 #astarisborn @starisbornmovie  pic.twitter.com/kLYCgurD5O,4,21
ethangaga24,"Ladies and gentleman, Ally. @ladygaga #AStarIsBorn  pic.twitter.com/3IwvCuQz5n",4,7
bestneighbors,"Howdy neighgbors! This week we talk about #AStarIsBorn #BadReputation and fave movies of the past. Plus, tons of #RealityTV You can listen here  https://bit.ly/2y45CBa  #PodernFamily #LadyPodSquad #PopCulture #Movies pic.twitter.com/8i4c5xhT5b",4,1
monsterca,ICYMI A Star Is Born Shatters 5 Dream Job Chasing Myths  http://ow.ly/QjYU30mblWZ  #Careers #CareerAdvice #Jobs #WednesdayWisdom #AStarIsBorn #UnleashMonster,4,6
sarahtanno,"#Repost @ELLEmagazine ・・・ #LadyGaga opens up about insecurities, #AStarIsBorn, and much more in the #ELLEWIH issue. Link in bio for her full cover story, but here's a tidbit about Gaga's…  https://www.instagram.com/p/Bowl7vjhNLK/?utm_source=ig_twitter_share&igshid=5bg1xt884ur5 …",4,9
mattrogerstho,"Clock the bag, clock the shoes, it's time to.....WHAT...have @itsSHANGELA on @LasCulturistas. You know we talk about #AStarIsBorn, Ms. Gaga, Mr. Cooper, @RuPaulsDragRace, overcoming obstacles, and so much more. DJ Pierce is as kind as Shangela is fierce. Big kisses! Listen NOW! pic.twitter.com/G9PJnLS4R8",4,114
hazalde27240710,I was calculating and if we continue like this we can achieve: - 1B views for #BadRomance in 75 days (Dec. 24) - 100M views for #Shallow in 39 days (Nov. 18) - 50M views for #LookWhatIFound in 66 days (Dec. 15)  Go Monsters! #AStarIsBorn #10YearsOfGaga #TheFameMonster 😍 pic.twitter.com/jVL6q8bXlK,4,16
nadiasawalha,We were SO moved by your comments on our #astarisborn review we had to discuss them on #WorldMentalHealthDay. Check it out now at  https://youtu.be/CydbWE0fxeg  pic.twitter.com/qaiXEUOLQN,4,28
jane_blatz,"#AStarIsBorn was beautiful, emotional, & truly perfect. I’m in complete awe of Lady Gaga’s incredible talent. I cant put my admiration for her into words. Bradley Cooper was extraordinary. Both deserve Oscar noms. And the SOUNDTRACK! Go see it. It is unbelievable.  pic.twitter.com/29xFz8eI5V",4,18
iorennz,"#AStarIsBorn is the real deal. The hype/praises/acclaims are deserved! Gaga's acting was unexpected and really made me forget ""Gaga"" and just focus on Ally. AND MAN, Bradley Cooper is just the best. He really did that. I love the chemistry because it is evident and powerful.",4,8
derivanto,"What a wonderful remake of an old movie: #AStarIsBorn . Music is beautiful, story is great, and the chemistry between Lady Gaga and Bradley Cooper feels so real. Amazing movie, I really enjoyed it! Well done Mr Cooper, you did a great job with this one!! My rating: 🍿🍿🍿🍿🍿  pic.twitter.com/bi2gErHjpf",4,12
gagapopnet,Check out 22 new photos by Peter Lindbergh for a #AStarIsBorn here!:  http://gagapictures.com/thumbnails.php?album=6792 … pic.twitter.com/VNnHm4aPy6,4,11
allanplusdale,"As a long-time Lady Gaga fan, I had a great time writing this review of #AStarIsBorn. If anything else, she proved that she truly is a star. Have that with Bradley Cooper's amazing debut as a director, emotions shine brightest in the movie!  https://thelittlebinger.com/star-is-born-review/#.W72Qb-SZhGw.twitter …",4,7
killkell99,I got my HAIR BODY FACE HAIR BODY FACE #AStarIsBornMovie  pic.twitter.com/94ilbVfdfs,4,19
qotdct,"#SongOfTheDay: ""The Man That Got Away"" (1954) by Judy Garland, from ""A Star Is Born"" #AStarIsBorn #AStarIsBornMovie  https://youtu.be/G0OpD29vKLk ",4,4
anthonycpaul,"Moving to Los Angeles has truly been a process, but I am greatful to say I am here and I am still singing 🙌🏾  “Shallow” - @ladygaga x Bradley Cooper  #AStarIsBornSoundtrack #AStarIsBornMovie  pic.twitter.com/jwrk0e7Atp",4,26
lincolnyounes1,#AStarIsBornMovie is phenomenal.,4,45
melissa_souz,A Star is Born is an excellent film. I highly recommend it. Congrats to @ladygaga and Bradley Cooper for an incredible experience! See you at the Oscars! 🎥 #AStarIsBornMovie #Oscarworthy,4,12
bethjamesband,Sees @starisbornmovie once... 👏🏻💫  Watch the full video here:   https://bit.ly/2Adr08A  ✨ #AStarIsBorn #Shallow @ladygaga #BradleyCooper @LiveNationProds pic.twitter.com/NOy7oNQXjK,4,18
axoder,Of these 4 songs from #AStarIsBorn soundtrack which one is your favorite? @ladygaga @starisbornmovie #BradleyCooper,4,3
russhillcountry,"My #CountryMusic show will return on @ExpressFM next Sunday 12pm-3pm [UK time] with a look at the @starisbornmovie soundtrack, tunes by @CharlesEsten and @waynejacobs777 + @Ryann_Greaves will be in session. #Nashies pic.twitter.com/avqqVaUMQh",4,7
jonjonlannen,I have never openly sobbed in a movie theater and tonight it happened. @ladygaga & Bradley Cooper were top notch in @starisbornmovie. #astarisborn #thatpodcast,4,5
fiona_davies,I'll never love again #AStarIsBorn Thank you @JamesArthur23 for the full song!  #phenomenal https://youtu.be/xtoDY92HMb0 ,4,13
sjraphael,"I was pleasantly surprised to see @itsSHANGELA & @willam pop up in #AStarIsBorn ...cheers, hunties! 😘",4,123
silverbirdghana,"@IBradleyCooper A STAR IS BORN   Now Playing  Showing Times : 10:00AM, 12:10PM, 6:40PM, 9:20PM  Seasoned musician Jackson discovers - and falls in love with - struggling artist Ally and brings her into the spotlight  Starring : @iBradleycooper and @ladygaga #AStarisBorn #SIlverbirdGhana pic.twitter.com/wM6Fdy4Hyj",4,10
annahossnieh,I got to be on the @BechdelCast episode for #AStarIsBorn and IT JUST SURPRISED DROPPED!!! I have a good time breaking it down with @jamieloftusHELP & @caitlindurante !! Does it pass the bechdel test??? LOL!!!!!! IDK HONESTLY! I’m outta control - listen:  https://itunes.apple.com/us/podcast/the-bechdel-cast/id1180733925?mt=2&i=1000421926099 … pic.twitter.com/4tbg7qMycZ,4,53
loverboymedia,#AStarIsBorn - Review   https://youtu.be/jO6hmPdKTUU  pic.twitter.com/ST4X67qTOP,4,37
theodyssey,when someone says #AStarIsBorn  was "just okay"  pic.twitter.com/zqL35XFnhb,4,18
royorbisonjr,Did you see Roy Orbison in the new Bradley Cooper/Lady Gaga movie "A Star Is Born"?  #BradleyCooper #LadyGaga #AStarIsBorn #AStarIsBornMovie #RoyOrbison pic.twitter.com/RFVwPIJcuw,4,22
_mvrxssv,Every👏🏽 time👏🏽 😭😩 #AStarIsBornMovie  pic.twitter.com/zIqj6vv7UT,4,16
theaptlytitled,Me after watching #AStarIsBornMovie listening to the soundtrack on my way home  pic.twitter.com/sjsnZWaKRN,4,11
laurparkerr,Us after seeing #AStarIsBornMovie :  pic.twitter.com/QgM1hx7oON,4,11
katiereader96,Going to be listening to more Bradley cooper & lady Gaga 😍 #AStarIsBornMovie,4,85
sofialeee,A Star is Born⭐️ @ladygaga @TheEllenShow #AStarIsBornSoundtrack #AStarIsBornMovie #astarisborn #LadyGaga #BradleyCooper pic.twitter.com/DTTHpOFjo4,4,11
lsvladygaga,New merch sur le site officiel de #AStarIsBorn 👇🏼 #AStarIsBornMovie  pic.twitter.com/7SwPsWbBWM,4,6
graacexox,"Saw A Star is Born last night 👏🏼 12/10, best movie I’ve seen in a long time 🌟 #AStarIsBornMovie",4,22
minip02,"So my mom went to see #AStarIsBornMovie . Her words as she gushed about @ladygaga , Outstanding ,she is so beautiful,a natural performer, she is a great actress. Btw mom did enjoy rubbing it in, that she saw the movie before me.",4,12
rachelheine,"EXTREME FRIDAY MOOD brought to you by @starisbornmovie, baby seals, and my good friend / genius @Atom_Murray. 🙏🙏🙏 pic.twitter.com/CZkmtZPkOP",4,36
jsarkissianfox7,"Listening to Bradley Cooper on @bobbybonesshow and it’s giving me all the feels... again. If you haven’t seen @starisbornmovie, you need to! Right, @LaurenOnFOX7? We can’t stop crying😭",4,41
chrisrosa92,My review of Gaga in #AStarIsBorn  A   S - SUCCESS  T - TALENT  A- ACCLAIM  R- RESILIENCE   IS  B - BRILLIANT O - ORIGINAL R - RAW N - NUCLEAR,4,12
saranshgoila,What is the procedure to cook for @ladygaga? Her voice is ringing in my soul. I'm in the kitchen cooking with earphones on.   #AStarIsBorn,4,12
pride_site,"""When a straight person plays Carly Rae Jepsen."" #AStarIsBorn  http://bit.ly/2RSerqb ",4,17
morningedition,"""I couldn’t believe how comfortable she made me feel,"" Bradley Cooper told @rachelnpr of singing for the first time with @ladygaga in #AStarIsBorn  https://n.pr/2AbUK5z  pic.twitter.com/8xdaWt2Utv",4,8
thereel_in,#AStarIsBorn film review: Bradley Cooper and Lady Gaga set the screen on fire  https://buff.ly/2EcZ4FJ  pic.twitter.com/VyuxVjXHzC,4,10
tommyblunt95,'A Star Is Born' soundtrack spends second week at No. 1 on #Billboard200 chart  https://blbrd.cm/bkpj4B  #AStarIsBorn @ladygaga  (via @billboard ) pic.twitter.com/t3iKzy4ayd,4,7
schmittnyc,I thought #astarisborn was fantastic.  Also love how it eviscerates the “pop” music industry - an embarrassment to American culture 💪🏽  pic.twitter.com/yDcjvl9hAd,4,70
mnmillerfilmrev,Hello All! Here is a link to a list of all my film reviews @ReadySteadyCut!  https://readysteadycut.com/author/mnmiller79/ … #Blindspotting #MindingTheGap #Mandy #ThreeIdenticalStrangers #FirstMan #AStarIsBorn #Blaze #TheWife #SmallFoot #NightSchool #UncleDrew #SorryToBotherYou #LeaveNoTrace,4,9
nadzirahamira,Adam brought me out for A Star Is Born (I didnt know about the movie because I’m not updated) & it was a goooood one! I nangis teruk mengongoi! Bradley Cooper & Gaga made me cry cam bodoo 😭 definitely up for another round! #AStarIsBorn,4,1
mslizstrange,A curse on all you people raving about #AStarIsBorn. Went to see it to see what all the fuss was about and it was utter pish. Hated pretty much everything about it.,4,6
frankiefermi,The #AStarIsBornSoundtrack and Shallow are still #1 on iTunes UK and #AStarIsBorn 🌟 is all over iTunes. Talent is still winning and that’s how it should be. 😌  pic.twitter.com/7QSuQpoh9D,4,25
umutevirgen,#AStarIsBornMovie the best film i've watched in a long time... #BradleyCooper #LadyGaga,4,19
ashannio,ISTG A STAR IS BORN IS JUST SO GREATT!!!!! NO ONE IS ALLOWED TO DISAGREEE!!!!! LADY GAGA IS A QUEEEENNNNN!!!! #AStarIsBornMovie,4,5
lexievigne,"#AStarIsBornMovie was amazing and beautiful omg I couldn't even take my eyes off of Gaga whenever she was on screen no matter who was talking, she really brought Ally's character to life, also why nobody talk about Natali made a little cameo omg, well I cried at the end tho  pic.twitter.com/nnxVJFiPza",4,30
gardenstatefilm,@EllieLee She’s at it again! #GSFF Rising Star @ellielee.tv nabbed this awesome #interview with #bradleycooper and #ladygaga for #astarisbornmovie! Have you seen it?? Did you love it? Tell us your thoughts!! 👇👇👇...  https://www.facebook.com/GardenStateFilmFestival/videos/2176871185973028/ …,4,9
remezcla,We talked to @ARamosofficial at @TIFF_NET about playing a character who wasn't originally written as Latino in @starisbornmovie  http://remezcla.com/features/film/tiff-interview-anthony-ramos-bradley-cooper-star-born/?rtw …,3,10
popwiresg,LadyGaga & BradleyCooper astound in their feature #film directorial & acting debuts receptively. This 2018 update of A Star Is Born @starisbornmovie is an absolute cinematic triumph that wowed us completely. Full read on-site 👀 #astarisborn #popwiresg #LadyGaga #BradleyCooper pic.twitter.com/ENvGwcUIyY,3,2
soaudreyhepburn,"@ladygaga Just saw #astarisborn, and trust me @LadyGaga is going to win the Oscar and so will Bradley Cooper. @starisbornmovie",3,15
edibow,Brand new @soundtrackinguk episode with Writer/ Producer/ Director and leading man of @starisbornmovie #BradleyCooper talking all things music. Please have a listen here  https://itunes.apple.com/gb/podcast/soundtracking-with-edith-bowman/id1140497332?mt=2&i=1000421317648 … pic.twitter.com/xWMqJTjChv,3,10
erosadams,Full house at the Verona screening of @starisbornmovie @gagamonster96 pic.twitter.com/P71S2e6Kai,3,26
littleoldlady__,"@thatwasmydad ""@Thatwasmydad To those of you who thought my previous tweet meant I didn’t cry during @starisbornmovie — I cried so much one of my contacts fell out. Again, I am an Ally. Also an ally."" - @mary_cella apologizes for her dad's crazy tweet https://littleoldladycomedy.com/2018/10/09/thatwasmydad/ …",3,6
cbcmusic,Here are all the similarities between Bradley Cooper's A @starisbornmovie and the 3 older versions of this Hollywood classic:  http://bit.ly/2N3kjgy  #AStarIsBorn pic.twitter.com/LneHZOyDRL,3,8
wcruz73,Ok... I’m gonna say it. This might be my favorite version of A Star is Born. Such great work by everyone. I’m still thinking about it. 👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽@starisbornmovie,3,158
umlittlemonster,@starisbornmovie STREAM SHALLOW ON SPOTIFY/APPLE MUSIC #BTSxGagaParty,3,5
orladave,@starisbornmovie Join our streaming party NOW: #BTSxGagaParty,3,4
hogan_m2,"Just got in from watching @starisbornmovie Wow Bradly Cooper and @ladygaga are absolutely awesome & a big shout out to @lukasnelson, could really see your influence!!!",3,19
asawalich,"Has anyone seen @starisbornmovie? It paints a picture of how #tinnitus and #hearingloss can seriously impact your life. If you play or like listening to loud #music, wear hearing protection. You’ll thank yourself later in life. @Refinery29 https://www.refinery29.com/en-us/2018/10/213071/tinnitus-ear-condition-jackson-a-star-is-born-bradley-cooper …",3,7
bricam02,@starisbornmovie filled my heart while breaking it at the same time! 💔 Was holding my breathe till the end. Love Bradley Cooper and @ladygaga #AStarIsBornMovie #BradleyCooper #AStarIsBornSoundtrack,3,4
paulsmovietrip,I raved about @starisbornmovie on Friday's @twincities_live on @KSTP My home release pick was @iiistrangers Who else has seen either of these movies? I'd love to hear your thoughts. Here's the video - https://www.youtube.com/watch?v=HGj7-Da9MwE&t=1s …,3,4
electricbham,@timeout @totalfilm @empiremagazine @guardian @starisbornmovie #LadyGaga and #BradleyCooper take on a story nearly as old as Hollywood itself @StarIsBornMovie ★★★★★ @Guardian ★★★★★ @Telegraph ★★★★★ @EmpireMagazine ★★★★ @TotalFilm ★★★★ @TimeOut ★★★★ @LWLies 🎤 Showing until Oct 18th  http://www.theelectric.co.uk/programme.php?film=2212 … pic.twitter.com/Y6wbytDrp4,3,3
rickyh80,@starisbornmovie seem the film and bought the soundtrack got to be nailed on for Oscars I say 5 easy,3,0
tweetsofpop,"The US iTunes is being dominated by @ladygaga securing the 1, 2, 3, 4, 6 & 7 spots 💓 Congratulations!!! @starisbornmovie   Also, I don’t see any rap artists lately 😏   LETS GO POP!!!!!!!  pic.twitter.com/O5XTqwCAqi",3,9
jondonahue,"#BradleyCooper, @ladygaga and #SamElliott knocked it outta the park in @starisbornmovie! #Oscar caliber performances, combined with stellar direction and cinematography...and, of course, the amazing music. So glad movies like this are still being made. Don’t miss this one, folks! pic.twitter.com/2r0ty8XICr",3,9
samstyles,You guys. THIS. Give Bradley Cooper the #oscar. He was WOW! 😳 And @ladygaga REALLY delivered and was fantastic! @starisbornmovie is👌🏼👏🏼👏🏼👏🏼  pic.twitter.com/c2AWqL4pOf,3,5
popcultureview,"I went into #AStarIsBorn KNOWING I was going to hate it; I was going to write an epic tweet ripping the overhype around the movie - another vapid remake of a cliche story. It was going to be a sick burn in 280 characters  But fuck me, @starisbornmovie is wonderful. Pure & simple  pic.twitter.com/GHpNB5Jlpy",3,7
jimmyhemphill,"I loved @starisbornmovie so much, and loved talking with Bradley Cooper about it for this piece.  https://twitter.com/filmmakermag/status/1047681868647354368 …",3,10
ascheofficial,"@starisbornmovie @ladygaga @tyleroakley I feel like all your latest videos are thirst traps, but I guess that’s just hot you look these days 😝",3,5
laurenmichellem,They started playing ‘I’ll Never Love Again’ from #AStarIsBornMovie on the radio and I can’t keep my shit together. Ugly crying in parking lots across the greater Chicagoland area.,3,6
capewindy,Two for one! My reviews of this weekend's mainstream movies: A STAR IS BORN ( https://www.featuringfilm.com/2018/10/a-star-is-born-with-good-intentions.html …)  &  VENOM ( https://www.featuringfilm.com/2018/10/venom-tongue-in-cheek-anti-hero.html …). You may be surprised... #AStarIsBornMovie #VenomMovie #movies #reviews pic.twitter.com/WOfZuCJdIh,3,2
sandralynnmusic,"A Star is Born🌟...WOW...go see it IMMEDIATELY....so strong, so powerful...I’m just😍....loved it....❤️🎥 @ladygaga and #BradleyCooper #AStarIsBornMovie",3,14
time4hiddles,"Just saw #AStarIsBornMovie Yes, it really is as great as they say it is. I have a whole new respect for Bradley Cooper.",3,20
hendrifenri,Sinopsis Film A Star Is Born   https://beritapenghibur.blogspot.com/2018/10/sinopsis-film-star-is-born.html … #films #boxoffice #AStarIsBorn #AStarIsBornMovie  pic.twitter.com/1vpHwbcmcB,3,3
yeayea1218,just saw  #AStarIsBornMovie had me like 😭😭😭.   #bradleycooper that accent!! 😍 dude can sing too.  @ladygaga was brilliant . break out the oscars.,3,4
fioxgx,About to go watch #AStarIsBornMovie because of Lydia’s review and also Bradley and Gaga #scaredandexcited https://twitter.com/forthegwen/status/1048022856142147584 …,3,9
ginakatyfan1,My monster cousin ready see it for first time @ladygaga @starisbornmovie #AStarIsBornMovie @IAMPEACEMONSTER pic.twitter.com/J1Kq66SYcT,3,9
isabelgillies,Just had a 🥃 on the rocks and am headed into #AStarIsBornMovie. #FuckYeah #LivingForIt ⭐️🙌🎼,3,65
aisleseat,"A STAR IS BORN is one of the best, most enjoyable movies of the year, and Lady Gaga gives an astonishing performance. I break down the biggest reason why the film works in my review:  https://aisleseat.com/a-star-is-born  #AStarIsBorn #AStarIsBornMovie #LadyGaga pic.twitter.com/plEx4lppkO",3,6
mmandoscar,Great review (like @kt_schaefer + @NextBestPicture do anything other) but MAN it's going to be something 2 see if there's anymore fallout from the #LadyGaga/#Venom/#BuzzFeed box office controversy we touched on in our #AStarIsBornMovie review (18:00 mark)  https://soundcloud.com/mikemikeandoscar/ep108-astarisborn2018osp … https://twitter.com/NextBestPicture/status/1048198690668728321 …,3,6
electricvoilet,Hey guys! The soundtrack to @starisbornmovie is out now!! I've got chills already 😂😁😍#AStarIsBornSoundtrack #AStarIsBornMovie   Poll: How would you rate this soundtrack?? @Spotify @TwitterMusic @SuperheroPOLL @iTunes @SpotifyUSA @gagamonster96 @ladygaga Please Vote and RT.,3,6
ttsternenzi,Find out who wins the box office battle between the heavenly body and the symbiote shortly on @FOX19 #AStarIsBornMovie #Venom,3,5
insidecroydon,Cinema offers rocket-fuelled movies that reach for the stars #Croydon #AStarIsBornMovie ⁦@BBCr4today⁩ ⁦@ladygaga⁩ ⁦@TimeOutLondon⁩ ⁦@WhatsOnCroydon⁩ ⁦@SaveDavidLean⁩ https://insidecroydon.com/2018/10/04/cinema-offers-rocket-fuelled-movies-that-reach-for-the-stars/ …,3,2
musicalum,Omg ⁦@ladygaga⁩ I m just listening this amazing soundtrack... totally in love with your soul... thx for this gift! Your way is too much long... #AStarIsBornSoundtrack #AStarIsBorn #AStarIsBornMovie  pic.twitter.com/7iDqydZfkW,3,7
hausofthomas01,I just saw the movie and... I'm speechless. I only can post this GIF. #AStarisBorn #AStarIsBornMovie @ladygaga pic.twitter.com/NQZjRGQM6P,3,4
tayduren,a star is born has left me speechless. thank you @ladygaga and bradley cooper for gracing the big screen with such a beautiful and powerful story. #AStarIsBornMovie  pic.twitter.com/XqrFyyLPKX,3,8
barrychou_,"I have to totally agree with #BradleyCooper, #MrChow is such a great character! @kenjeong totally crushed it!   #AStarIsBorn #AStarIsBornMovie #AChowIsBorn #AChowIsBornMovie #CONAN 😎 pic.twitter.com/cjxPUzEZKG",3,37
darrylmabey,Judy Garland would be so proud! 🌟🌟🌟🌟🌟 #AStarIsBorn @ladygaga pic.twitter.com/2KU0k3QGtb,3,13
cailloupettis,A STAR IS BORN - Film Review #AStarIsBorn  https://cailloupettismoviereviews.com/2018/10/06/a-star-is-born-film-review/ …,3,4
omarafuni,My favorite song off the #AStarIsBorn soundtrack hands down. @ladygaga is legendary. #IllNeverLoveAgain   Lady Gaga - I'll Never Love Again (From "A Star Is Born") [Cover]  https://youtu.be/Ct-_R1kgER0  pic.twitter.com/uwCUudPtZp,3,6
hausxoxo,@LadyGagaUpdated @BradCooper28 @twentyonepilots BUY & STREAM #AStarIsBorn  https://twitter.com/ladygaga/status/262936541544980480 …,3,20
allymaine18,Chanel vs Walmart. #AStarIsBornOutNow #AStarIsBorn #ASIB #LadyGaga #BradleyCooper #Gaga pic.twitter.com/FUgmoLZLhX,3,9
chloeemilyjayne,This film is incredible from start to finish.. 😍 @ladygaga & Bradely Cooper amazing !! Just fantastic !! @starisbornmovie #astarisborn #LadyGaga #BradleyCooper https://twitter.com/starisbornmovie/status/1037808406906589184 …,3,3
careyshook,Hi I’m not one to spoil movies but there is a suicide in #AStarIsBorn that in my opinion wasn’t obvious in the trailer and I want everyone to take care of themselves,3,10
ddale_33,#AStarIsBorn is one of the best films I’ve ever seen. Bradley Cooper’s directorial debut is masterfully crafted and feels like a veteran was behind the  lens. Lady Gaga deserves to be nominated as well as Cooper. You owe it to yourself to go see this beautiful creation. Grade: A+  pic.twitter.com/VPcXj0fTHT,3,14
xclaire_gaga,SO TRUE 🙏🏼❤️ #AStarisBorn #LadyGaga #BradleyCooper pic.twitter.com/zsDLXKUsOM,3,12
aerl83,Selfie with Lady Gaga @ladygaga Amazing performance on the big screen! #astarisborn #movie #film #music #believe #dream #workhardplayhard #picoftheday  https://www.instagram.com/p/BomveiGH2qD/?utm_source=ig_twitter_share&igshid=1g8t04rr7q0jd …,3,4
mj_keilani,You’re music to my eyes...💕 #obsessed #astarisborn  pic.twitter.com/wGVdGCbDHh,3,10
lukeslivingroom,"Get ready to start using the term, ""Academy Award-winner, Lady Gaga."" #AStarIsBorn",3,5
roseberry514,I can't wait! Your next favourite singer has written your next favourite song! 2️⃣ days #AStarIsBorn  https://twitter.com/OliviaCella1/status/1048656509012516866?s=09 …,3,4
thatgrapejuice,The Predictions Are In! Lady Gaga's #AStarIsBorn Soundtrack Set To Sell...  http://bit.ly/2IHDg3J  pic.twitter.com/n0ok6ZcGRK,3,6
gerrygaga28,UNSTOPPABLE DOMINATION CONTINUES! Lady Gaga currently has 4 songs inside Top 5. Total of 14 songs from "A Star Is Born Soundtrack" charting in the Top 100!  #AStarIsBorn Movie opens in PH cinemas October 10. Soundtrack Album OUT NOW:  http://smarturl.it/ASIBSoundtrack  pic.twitter.com/ksemIrI1C1,3,3
oneperfectshot,"From Janet Gaynor to Lady Gaga, we look back at all four iterations of #AStarIsBorn.  https://buff.ly/2yi4Cc3 ",3,28
theoneinthe5un,"Just finished watching #AStarisBorn and all I can say is WOW! This is a masterpiece of a film, I left the cinema crying my eyes out (not even exaggerating!). What a performance by @ladygaga and Bradley Cooper, with a perfect soundtrack. Just incredible",3,6
liinakaro11,#AStarIsBorn is absolutely wonderful movie! I haven’t cried so much in a while. Thank you #BradleyCooper for this movie and the amazing performance. #SaturdayFeelings,3,9
